OBJECTID,FD_ID,DEPT_NAME,STATION_NUMBER,STATION_ADDRESS,CITY,STATE,COUNTY,ZIP_CODE,LATITUDE,LONGITUDE,x,y
31542,02703,Lower Currituck V. F. D. Inc.,3,8336 Caratoke Hwy,Powells Point,NC,Currituck,27966,36.12230219,-75.83446805,-75.8344680499999,36.12230219
31543,03616,"Lucia-Riverbend Volunteer Fire Department, Inc.",1,14124 Lucia-Riverbend,Mount Holly,NC,Gaston,28120,35.37314253,-81.00089959,-81.00089959,35.3731425300001
31544,07809,"Lumber Bridge Volunteer Fire Department, Inc.",1,303 W. Main St.,Lumber Bridge,NC,Robeson,28357,34.89150333,-79.07688425,-79.07688425,34.89150333
31545,07810,Lumberton Fire Department,1,600 North Cedar St,Lumberton,NC,Robeson,28358,34.621232,-79.003234,-79.003234,34.6212320000001
31546,07810,Lumberton Fire Department,3,801 Dunn Rd,Lumberton,NC,Robeson,28358,34.619185,-79.038754,-79.038754,34.6191850000001
31547,03118,"Lyman Volunteer Fire Department, Inc.",1,1528 Lyman Rd,Chinquapin,NC,Duplin,28521,34.85414842,-77.74643755,-77.7464375499999,34.8541484200001
31548,03303,Macclesfield Rural Volunteer Fire Department,1,410 E Green Street,Macclesfield,NC,Edgecombe,27852,35.749798,-77.664305,-77.664305,35.7497980000001
31549,09307,"Macon Rural Fire Department, Inc.",1,1644 US Highway 158 Business East,Macon,NC,Warren,27551,36.43868342,-78.08328315,-78.0832831499999,36.4386834200001
31550,07903,Madison Fire Department,1,107 N. Wilson,Madison,NC,Rockingham,27025,36.38812092,-79.97103947,-79.9710394699999,36.3881209200001
31551,04408,"Maggie Valley Volunteer Fire Department, Inc.",1,2901 Soco Road ,Maggie Valley,NC,Haywood,28751,35.51204105,-83.07754099,-83.07754099,35.5120410500001
31552,03108,"Magnolia Volunteer Fire Department, Inc.",1,110 Taylor St.,Magnolia,NC,Duplin,28453,34.8959924,-78.05510688,-78.05510688,34.8959924000001
31553,01809,Maiden Fire Department,1,719 East Main Streer,Maiden,NC,Catawba,28650,35.5766,-81.215,-81.215,35.5766
31554,01809,Maiden Fire Department,2,5911 Startown Rd.,Maiden,NC,Catawba,28650,35.5899,-81.2567,-81.2567,35.5899000000001
31555,02811,"Manns Harbor Volunteer Fire Department, Inc.",1,6677 NC Hwy 64 East,Manns Harbor,NC,Dare,27953,35.8926,-75.7683,-75.7683,35.8926000000001
31556,09616,"Mar-Mac Volunteer Fire Department, Inc.",1,583 Old Grantham Rd,Goldsboro,NC,Wayne,27530,35.33598007,-78.04740041,-78.04740041,35.3359800700001
31557,05605,Marion Fire Department,1,60 West Court Street,Marion,NC,McDowell,28752,35.68400043,-82.01013411,-82.01013411,35.68400043
31558,05803,Mars Hill Volunteer Fire Department,1,56 North Main Street,Mars Hill,NC,Madison,28754,35.82778257,-82.54826437,-82.54826437,35.8277825700001
31559,05802,"Marshall Community Volunteer Fire Department, Incorporated",1,53 North Main,Marshall,NC,Madison,28753,35.79736729,-82.68499079,-82.68499079,35.7973672900001
31560,01614,"Marshallberg Voluntary Fire Department, Inc.",1,109 Goose Pond Rd,Marshallberg,NC,Carteret,28553,34.727,-76.5153,-76.5153,34.727
31561,01614,"Marshallberg Voluntary Fire Department, Inc.",2,399 Piggott Rd.,Gloucester,NC,Carteret,28528,34.72749138,-76.54493219,-76.5449321899999,34.7274913800001
31562,02002,"Martin's Creek Volunteer Fire Department, Inc.",1,3940 Hedden Raod,Murphy,NC,Cherokee,28906,35.027182,-84.03251,-84.0325099999999,35.027182
31563,06014,Matthews Fire & EMS,1,236 S. Trade St.,Matthews,NC,Mecklenburg,28105,35.11344845,-80.72527658,-80.72527658,35.1134484500001
31564,06014,Matthews Fire & EMS,2,1201 Crews Rd.,Matthews,NC,Mecklenburg,28105,35.12524388,-80.72081376,-80.7208137599999,35.12524388
31565,06014,Matthews Fire & EMS,3,3017 Matthews - Mint Hill Road,Matthews,NC,Mecklenburg,28105,35.132568,-80.685069,-80.6850689999999,35.132568
31566,04007,"Maury Volunteer Fire and Rescue Association, Inc.",1,3659 Hwy 903 N,Maury,NC,Greene,28554,35.48126364,-77.58157055,-77.58157055,35.4812636400001
31567,04007,"Maury Volunteer Fire and Rescue Association, Inc.",2,5846 Highway 258 North,Farmville,NC,Greene,28554,35.520574,-77.613743,-77.6137429999999,35.5205740000001
31568,07904,Mayodan Fire Department,1,100 N Ayersville Road,Mayodan,NC,Rockingham,27027,36.41477552,-79.97746822,-79.9774682199999,36.41477552
31569,05203,"Maysville Fire and EMS, Inc.",1,404 Main Street,Maysville,NC,Jones,28555,34.90597682,-77.23170729,-77.23170729,34.90597682
31570,05203,"Maysville Fire and EMS, Inc.",2,7561 New Bern Hwy,Maysville,NC,Jones,28555,34.88706,-77.234866,-77.234866,34.8870600000001
31571,05203,"Maysville Fire and EMS, Inc.",3,2603 White Oak River Rd,Maysville,NC,Jones,28555,34.926,-77.3331,-77.3330999999999,34.926
31572,09707,"McGrady Volunteer Fire and Rescue, Inc.",1,11461 Sparta Rd.,Mc Grady,NC,Wilkes,28649,36.326,-81.2239,-81.2239,36.3260000000001
31573,04114,"McLeansville Fire Department, Inc.",1,5326 Frieden Church Rd,Mc Leansville,NC,Guilford,27301,36.10643932,-79.65926052,-79.65926052,36.10643932
31574,04114,"McLeansville Fire Department, Inc.",2,3719 HighRock Rd.,Gibsonville,NC,Guilford,27249,36.1351,-79.61120729,-79.61120729,36.1351000000001
31575,04114,"McLeansville Fire Department, Inc.",3,625 Knox Rd,Gibsonville,NC,Guilford,27249,36.07563496,-79.64048391,-79.6404839099999,36.0756349600001
31576,05115,"Meadow Volunteer Fire Department, Inc.",1,7409 NC Highway 50 South,Benson,NC,Johnston,27504,35.32047003,-78.45477469,-78.45477469,35.32047003
31577,09507,"Meat Camp Volunteer Fire Department, Inc.",1,4797 NC Hwy 194 North,Boone,NC,Watauga,28607,36.27284135,-81.65098075,-81.65098075,36.2728413500001
31578,09507,"Meat Camp Volunteer Fire Department, Inc.",2,4893 Howards Creek Rd,Boone,NC,Watauga,28607,36.268723,-81.711674,-81.711674,36.2687230000001
31579,00109,Mebane Fire Department,1,405 North First Street,Mebane,NC,Alamance,27302,36.10193157,-79.27085633,-79.27085633,36.10193157
31580,00109,Mebane Fire Department,2,103 West Washington Street,Mebane,NC,Alamance,27302,36.09578037,-79.26837756,-79.26837756,36.0957803700001
31581,00109,Mebane Fire Department,3,1469 Mebane Oaks Road,Mebane,NC,Alamance,27302,36.06341977,-79.26824332,-79.26824332,36.0634197700001
31582,00806,Merry Hill-Midway Volunteer Fire Department,1,109 NC 45 N,Merry Hill,NC,Bertie,27957,36.0357,-76.7853,-76.7852999999999,36.0357000000001
31583,05116,"Micro Volunteer Fire Department, Inc.",1,321 U S Hwy 301 S ,Micro,NC,Johnston,27555,35.56098254,-78.20897469,-78.2089746899999,35.5609825400001
31584,09403,"Mid-County Volunteer Fire Department, Inc.",1,18135 NC Highway 32 North,Roper,NC,Washington,27970,35.95075657,-76.49351994,-76.4935199399999,35.9507565700001
31585,06406,Middlesex Volunteer Fire Department,1,11636 W. Hanes Ave,Middlesex,NC,Nash,27557,35.7911,-78.2068,-78.2068,35.7911
31586,01312,"Midland Volunteer Fire and Rescue, Inc.",1,12805 US 601 Hwy S,Midland,NC,Cabarrus,28107,35.2418,-80.5036,-80.5035999999999,35.2418000000001
31587,01312,"Midland Volunteer Fire and Rescue, Inc.",2,369 NC 24/27 Hwy E,Midland,NC,Cabarrus,28107,35.249684,-80.56739656,-80.56739656,35.2496840000001
